Year,Trial,ID,NumPlants,Block,Instar,Movements,TimesObs,RelMovements,ArcSineMovements
2018,6,53,3,6,1,1,8,0.125,0.361367124
2018,6,53,3,6,3,1,8,0.125,0.361367124
2018,6,54,3,6,1,0,9,0,0
2018,6,54,3,6,3,0,9,0,0
2018,6,54,3,6,2,1,9,0.111111111,0.339836909
2018,6,55,3,7,1,0,9,0,0
2018,6,55,3,7,2,0,9,0,0
2018,6,55,3,7,3,0,9,0,0
2018,6,56,3,7,1,0,6,0,0
2018,6,56,3,7,2,0,6,0,0
2018,6,58,3,7,1,0,19,0,0
2018,6,58,3,7,2,0,19,0,0
2018,6,58,3,7,3,0,19,0,0
2018,6,58,3,7,4,2,19,0.105263158,0.330422648
2018,6,58,3,7,5,2,19,0.105263158,0.330422648
2018,6,60,2,7,1,0,7,0,0
2018,6,60,2,7,2,0,7,0,0
2018,6,67,2,8,1,1,10,0.1,0.321750554
2018,6,67,2,8,2,1,10,0.1,0.321750554
2018,6,67,2,8,3,1,10,0.1,0.321750554
2018,6,69,3,8,1,1,9,0.111111111,0.339836909
2018,6,69,3,8,2,2,9,0.222222222,0.490882678
2018,6,69,3,8,3,3,9,0.333333333,0.615479709
2018,6,70,4,8,1,0,12,0,0
2018,6,70,4,8,2,0,12,0,0
2018,6,70,4,8,4,1,12,0.083333333,0.292842772
2018,6,70,4,8,3,3,12,0.25,0.523598776
2018,6,72,3,8,1,0,17,0,0
2018,6,72,3,8,2,0,17,0,0
2018,6,72,3,8,3,1,17,0.058823529,0.244978663
2018,6,72,3,8,4,2,17,0.117647059,0.350105778
2018,6,73,2,9,1,0,12,0,0
2018,6,73,2,9,2,0,12,0,0
2018,6,73,2,9,3,1,12,0.083333333,0.292842772
2018,6,73,2,9,4,2,12,0.166666667,0.420534335
2018,6,77,4,9,1,0,13,0,0
2018,6,77,4,9,2,0,13,0,0
2018,6,77,4,9,3,0,13,0,0
2018,6,77,4,9,4,1,13,0.076923077,0.281034902
2018,6,79,3,9,3,0,8,0,0
2018,6,79,3,9,1,1,8,0.125,0.361367124
2018,6,79,3,9,2,1,8,0.125,0.361367124
2018,6,80,3,9,1,0,12,0,0
2018,6,80,3,9,2,0,12,0,0
2018,6,80,3,9,3,1,12,0.083333333,0.292842772
2018,6,80,3,9,4,1,12,0.083333333,0.292842772
2018,7,1,2,1,2,0,9,0,0
2018,7,1,2,1,3,0,9,0,0
2018,7,1,2,1,1,1,9,0.111111111,0.339836909
2018,7,2,4,1,1,1,14,0.071428571,0.270549763
2018,7,2,4,1,3,1,14,0.071428571,0.270549763
2018,7,2,4,1,4,1,14,0.071428571,0.270549763
2018,7,2,4,1,2,2,14,0.142857143,0.387596687
2018,7,3,2,1,1,0,14,0,0
2018,7,3,2,1,3,0,14,0,0
2018,7,3,2,1,4,1,14,0.071428571,0.270549763
2018,7,3,2,1,2,2,14,0.142857143,0.387596687
2018,7,5,3,1,1,0,6,0,0
2018,7,5,3,1,2,1,6,0.166666667,0.420534335
2018,7,9,4,1,2,1,6,0.166666667,0.420534335
2018,7,9,4,1,1,3,6,0.5,0.785398163
2018,7,11,2,3,1,0,11,0,0
2018,7,11,2,3,2,1,11,0.090909091,0.306277369
2018,7,11,2,3,4,1,11,0.090909091,0.306277369
2018,7,11,2,3,3,2,11,0.181818182,0.440510663
2018,7,12,3,3,1,0,18,0,0
2018,7,12,3,3,3,2,18,0.111111111,0.339836909
2018,7,12,3,3,4,2,18,0.111111111,0.339836909
2018,7,12,3,3,5,2,18,0.111111111,0.339836909
2018,7,12,3,3,2,3,18,0.166666667,0.420534335
2018,7,13,3,3,1,0,14,0,0
2018,7,13,3,3,3,1,14,0.071428571,0.270549763
2018,7,13,3,3,2,2,14,0.142857143,0.387596687
2018,7,13,3,3,4,3,14,0.214285714,0.481275374
2018,7,15,2,3,1,1,16,0.0625,0.252680255
2018,7,15,2,3,2,1,16,0.0625,0.252680255
2018,7,15,2,3,4,2,16,0.125,0.361367124
2018,7,15,2,3,3,3,16,0.1875,0.447832397
2018,7,16,4,3,1,0,14,0,0
2018,7,16,4,3,2,0,14,0,0
2018,7,16,4,3,3,0,14,0,0
2018,7,16,4,3,4,0,14,0,0
2018,7,17,4,3,1,0,8,0,0
2018,7,17,4,3,2,0,8,0,0
2018,7,17,4,3,3,0,8,0,0
2018,7,18,4,3,1,0,21,0,0
2018,7,18,4,3,2,0,21,0,0
2018,7,18,4,3,3,0,21,0,0
