Year,Trial,Block,Cage,NumPlants,LT,LM,LB,ST,SNV,SB,SS,TimesObs,MoveOnNatal,RLT,RLM,RLB,RST,RSNV,RSB,RSS,RMoveOnStem,
2018,7,1,3,2,11,2,0,3,4,6,0,13,3,0.846153846,0.153846154,0,0.230769231,0.307692308,0.461538462,0,0.230769231,
2018,7,1,5,3,5,2,0,2,3,2,0,7,1,0.714285714,0.285714286,0,0.285714286,0.428571429,0.285714286,0,0.142857143,
2018,7,1,9,4,11,7,3,4,2,14,1,21,4,0.523809524,0.333333333,0.142857143,0.19047619,0.095238095,0.666666667,0.047619048,0.19047619,
2018,7,3,11,2,7,4,0,1,2,7,1,11,4,0.636363636,0.363636364,0,0.090909091,0.181818182,0.636363636,0.090909091,0.363636364,
2018,7,3,12,3,11,4,4,2,4,13,0,19,9,0.578947368,0.210526316,0.210526316,0.105263158,0.210526316,0.684210526,0,0.473684211,
2018,7,3,13,3,10,4,0,2,4,8,0,14,6,0.714285714,0.285714286,0,0.142857143,0.285714286,0.571428571,0,0.428571429,
2018,7,3,15,2,4,11,2,1,0,16,0,17,7,0.235294118,0.647058824,0.117647059,0.058823529,0,0.941176471,0,0.411764706,
2018,7,3,16,4,24,2,0,3,8,12,3,26,0,0.923076923,0.076923077,0,0.115384615,0.307692308,0.461538462,0.115384615,0,
2018,7,3,17,4,19,3,0,1,2,19,0,22,0,0.863636364,0.136363636,0,0.045454545,0.090909091,0.863636364,0,0,
2018,7,3,18,4,18,4,4,6,9,7,4,26,2,0.692307692,0.153846154,0.153846154,0.230769231,0.346153846,0.269230769,0.153846154,0.076923077,
2018,7,4,20,4,20,3,0,3,9,9,2,23,3,0.869565217,0.130434783,0,0.130434783,0.391304348,0.391304348,0.086956522,0.130434783,
2018,7,4,21,3,9,6,3,1,3,14,0,18,8,0.5,0.333333333,0.166666667,0.055555556,0.166666667,0.777777778,0,0.444444444,
2018,7,4,22,3,10,2,2,1,1,11,1,14,6,0.714285714,0.142857143,0.142857143,0.071428571,0.071428571,0.785714286,0.071428571,0.428571429,
2018,7,4,23,3,15,0,0,4,9,2,0,15,0,1,0,0,0.266666667,0.6,0.133333333,0,0,
2018,7,4,26,2,9,1,2,4,5,3,0,12,3,0.75,0.083333333,0.166666667,0.333333333,0.416666667,0.25,0,0.25,
2018,7,6,28,2,12,3,0,1,4,10,0,15,6,0.8,0.2,0,0.066666667,0.266666667,0.666666667,0,0.4,
2018,7,6,30,4,18,5,0,4,3,14,2,23,4,0.782608696,0.217391304,0,0.173913043,0.130434783,0.608695652,0.086956522,0.173913043,
2018,7,6,31,4,15,9,0,3,3,16,2,24,7,0.625,0.375,0,0.125,0.125,0.666666667,0.083333333,0.291666667,
2018,7,6,33,2,8,3,2,2,2,8,1,13,4,0.615384615,0.230769231,0.153846154,0.153846154,0.153846154,0.615384615,0.076923077,0.307692308,
