Year,Trial,ID,Block,NumPlants,PDay,PWeight,InstarToMove,DaysToMove,TimesMoved,Move1st,Move2nd,Move3rd,Move4th,Move5th,PlantAbandonment,Abandon1st,Abandon2nd,Abandon3rd,Abandon4th,Abandon5th,NumPlantsVisited,PercPlantsVisited,PercPlantArcSine,ObsOnPlant,ObsOnCage,TimesObs,RelPlant,RelCage,PlantArcSine,CageArcSine
2017,2,16,2,4,12,1.29,5,11,1,0,0,0,0,1,1,0,0,0,0,1,2,50,0.785398163,24,0,24,1,0,1.570796327,0
2017,2,17,2,3,11,1.27,5,7,3,0,0,0,0,3,3,0,0,0,0,3,3,100,1.570796327,22,0,22,1,0,1.570796327,0
2017,2,20,3,4,12,1.47,3,5,8,0,0,1,2,5,5,0,0,1,1,3,4,100,1.570796327,21,3,24,0.875,0.125,1.209429203,0.361367124
2017,2,21,3,2,11,1.52,4,7,1,0,0,0,1,0,1,0,0,0,1,0,2,100,1.570796327,23,0,23,1,0,1.570796327,0
2017,2,22,3,3,11,1.23,5,7,4,0,0,0,0,4,3,0,0,0,0,3,2,66.6666667,0.955316618,20,2,22,0.909090909,0.090909091,1.264518958,0.306277369
2017,2,24,3,2,12,1.6,4,6,5,0,0,0,1,4,3,0,0,0,1,2,2,100,1.570796327,18,6,24,0.75,0.25,1.047197551,0.523598776
2017,2,25,3,4,11,1.39,5,10,2,0,0,0,0,2,1,0,0,0,0,1,2,40,0.684719203,21,1,22,0.954545455,0.045454545,1.355946494,0.214849833
2017,2,26,3,2,11,1.28,5,8,3,0,0,0,0,3,2,0,0,0,0,2,2,100,1.570796327,19,3,22,0.863636364,0.136363636,1.192568134,0.378228192
2017,3,2,1,3,10,1.3,4,6,4,0,0,0,1,3,3,0,0,0,1,2,2,66.6666667,0.955316618,17,3,20,0.85,0.15,1.173096912,0.397699415
2017,3,3,1,2,10,1.39,5,7,2,0,0,0,0,2,2,0,0,0,0,2,2,100,1.570796327,18,3,21,0.857142857,0.142857143,1.18319964,0.387596687
2017,3,5,1,2,11,1.5,5,9,2,0,0,0,0,2,2,0,0,0,0,2,2,100,1.570796327,19,4,23,0.826086957,0.173913043,1.140622468,0.430173859
2017,3,6,1,2,10,1.29,4,6,3,0,0,0,1,2,2,0,0,0,1,1,1,50,0.785398163,16,5,21,0.761904762,0.238095238,1.061056648,0.509739679
2017,3,7,1,3,9,1.17,5,8,1,0,0,0,0,1,1,0,0,0,0,1,1,33.3333333,0.615479708,16,3,19,0.842105263,0.157894737,1.162158472,0.408637855
2017,3,8,1,4,10,1.29,3,4,3,0,0,1,0,2,3,0,0,1,0,2,4,100,1.570796327,21,0,21,1,0,1.570796327,0
