Year,Trial,ID,Block,NumPlants,DaysToMove,MoveInstar,MoveInstar.5,LarvalWgt (g),Leaves,Biomass,PlantRank,TimesObs,MoveOnNatal,LT,LM,LB,SNV,ST,SB,SS,LogBiomass
2018,6,54,6,3,5,4,4,0.09,6,23.7075509,2,9,0.339836909,0.841068671,0.729727656,0,0,0.339836909,1.230959417,0,0.420644182
2018,6,55,7,3,5,3,3.5,,2,31.24557679,3,9,0,1.570796327,0,0,0.841068671,0.490882678,0.490882678,0,0.540546037
2018,6,56,7,3,3,3,3,,3,13.36215161,4,6,0,1.570796327,0,0,0,0.420534335,1.150261992,0,0.347725145
2018,6,58,7,3,10,5,5,,5,88.97373082,2,19,0.476679612,1.162158472,0.408637855,0,0.231477364,0.330422648,1.162158472,0,0.670508201
2018,6,60,7,2,4,3,3,,3,9.963736341,4,7,0,1.570796327,0,0,0.563942641,0.387596687,0.713724379,0,0.153324187
2018,6,67,8,2,5,3,3.5,,6,18.56835353,3,10,0.57963974,0.991156586,0.57963974,0,0.463647609,0.321750554,0.991156586,0,0.268773396
2018,6,69,8,3,5,3,3.5,,4,31.7399589,3,9,0.955316618,0.841068671,0.615479709,0,0.339836909,0.615479709,0.841068671,0,0.547363851
2018,6,70,8,4,6,4,4.5,,12,81.70903668,3,12,0.615479709,0.869122203,0.523598776,0.420534335,0,0.292842772,1.277953555,0,0.833088844
2018,6,72,8,3,9,5,5,,NA,NA,1,17,0.433537909,0.997593018,0.573203309,0,0.573203309,0.244978663,0.934664264,0,NA
2018,6,73,9,2,6,4,4.5,,7,56.98579143,1,12,0.523598776,0.955316618,0.523598776,0.292842772,0.701674124,0.292842772,0.785398163,0,0.676585338
2018,6,77,9,4,7,4,4,,6,47.56207697,4,13,0.281034902,1.289761425,0.281034902,0,0.746898593,0.281034902,0.746898593,0,0.563317459
2018,6,79,9,3,4,3,3.5,,3,19.50243688,3,8,0.523598776,1.209429203,0.361367124,0,0,0.523598776,1.047197551,0,0.386998894
2018,6,80,9,3,6,4,4.5,,7,180,0,12,0.420534335,1.047197551,0,0.523598776,0.292842772,0.523598776,0.869122203,0.292842772,1.176091259
2018,7,1,1,2,5,4,4,,5,21.08032161,3,9,0.339836909,0.615479709,0.955316618,0,0,0.490882678,1.079913649,0,0.369634723
2018,7,2,1,4,7,4,4,,7,47.48625904,0,14,0.640522313,0.785398163,0.713724379,0,0.481275374,0.387596687,0.930274014,0,0.530439922
2018,7,3,1,2,7,4,4.5,,3,133.6356286,1,14,0.481275374,1.18319964,0.387596687,0,0.640522313,0.481275374,0.713724379,0,0.979794225
2018,7,5,1,3,3,2,2,,3,2.016720455,4,6,0.420534335,1.150261992,0.420534335,0,0.785398163,0.615479709,0.420534335,0,-0.473505547
2018,7,9,1,4,3,2,2,,4,3.185203878,3,6,0.955316618,0.420534335,0.615479709,0.785398163,0,0.615479709,0.955316618,0,-0.275014015
2018,7,11,3,2,6,4,4,,9,133.5838615,3,11,0.647284848,0.923511479,0.647284848,0,0.440510663,0.306277369,0.923511479,0.306277369,1.084361308
2018,7,12,3,3,9,5,5,,12,1232.930285,1,18,0.785398163,0.841068671,0.490882678,0.490882678,0.490882678,0.237941125,1.015675159,0,1.835666015
2018,7,13,3,3,7,4,4.5,,7,196.9114327,4,14,0.713724379,1.006853685,0.563942641,0,0.563942641,0.387596687,0.857071948,0,1.148142896
2018,7,15,3,2,8,4,4,,9,93.55973297,2,16,0.722734248,0.447832397,0.911738291,0.361367124,0,0.252680255,1.318116072,0,0.766968991
2018,7,16,3,4,7,4,4,,2,53.28250227,4,14,0,1.570796327,0,0,0.785398163,0.270549763,0.713724379,0,0.580456576
2018,7,17,3,4,4,3,3,,7,35.32320386,3,8,0,1.570796327,0,0,0.523598776,0.361367124,0.911738291,0,0.644970101
2018,7,18,3,4,11,5,5,,6,NA,0,21,0.313727886,1.061056648,0.387596687,0.313727886,0.713724379,0.451633441,0.563942641,0,NA
2018,7,20,4,4,9,5,5,,14,NA,0,18,0.420534335,1.230959417,0.339836909,0,0.785398163,0.237941125,0.729727656,0,NA
2018,7,21,4,3,9,5,5,,10,1000,0,17,0.75596941,0.75596941,0.636132063,0.433537909,0.433537909,0.244978663,1.064351683,0,1.769551079
2018,7,22,4,3,7,4,4,,6,35.48215621,2,13,0.746898593,0.982793723,0.403057074,0.403057074,0.281034902,0.281034902,1.069703314,0.281034902,0.436066651
2018,7,23,4,3,8,4,4.5,,4,400,1,15,0,1.570796327,0,0,0.886077124,0.542639102,0.373792175,0,1.425968732
2018,7,26,4,2,6,4,4,,6,76.19383578,3,12,0.523598776,1.047197551,0.292842772,0.420534335,0.701674124,0.615479709,0.523598776,0,0.802738591
2018,7,28,6,2,8,4,4.5,,7,106.1296145,2,15,0.684719203,1.107148718,0.463647609,0,0.542639102,0.261157411,0.955316618,0,0.849745328
2018,7,30,6,4,5,3,3.5,,5,45.49467131,3,10,0.684719203,0.886077124,0.684719203,0,0.321750554,0.463647609,0.991156586,0,0.657960532
2018,7,31,6,4,9,5,5,,10,NA,0,18,0.673351617,1.015675159,0.555121168,0,0.420534335,0.339836909,0.89744471,0.339836909,NA
2018,7,33,6,2,7,4,4,,8,121.9899665,3,13,0.588002604,0.901832253,0.501093013,0.403057074,0.403057074,0.403057074,0.901832253,0.281034902,0.97238076
2018,7,35,6,3,8,5,5,,NA,NA,0,15,0.615479709,0.886077124,0.615479709,0.261157411,0.373792175,0.373792175,1.028157225,0,NA
